datetime,open,high,low,close,volume
2024-06-15 00:00:00,142.973,143.995,142.854,143.483,242491.0
2024-06-15 01:00:00,143.483,144.466,143.134,143.24,218125.0
2024-06-15 02:00:00,143.24,143.948,143.113,143.693,127771.0
2024-06-15 03:00:00,143.693,144.921,143.677,144.903,217645.0
2024-06-15 04:00:00,144.903,145.172,144.0,144.714,404695.0
2024-06-15 05:00:00,144.71,145.488,144.635,144.851,291507.0
2024-06-15 06:00:00,144.852,145.378,143.945,144.18,301216.0
2024-06-15 07:00:00,144.179,144.779,143.586,143.741,349393.0
2024-06-15 08:00:00,143.74,144.35,143.49,143.904,216972.0
2024-06-15 09:00:00,143.904,144.324,143.2,143.455,207394.0
2024-06-15 10:00:00,143.454,144.0,142.879,143.973,223246.0
2024-06-15 11:00:00,143.973,144.602,143.733,144.448,214753.0
2024-06-15 12:00:00,144.448,144.837,143.955,144.639,189226.0
2024-06-15 13:00:00,144.639,144.934,144.104,144.882,178590.0
2024-06-15 14:00:00,144.882,144.909,144.216,144.387,237360.0
2024-06-15 15:00:00,144.387,145.38,144.26,145.098,311330.0
2024-06-15 16:00:00,145.098,145.74,144.991,145.11,319651.0
2024-06-15 17:00:00,145.11,145.5,144.778,145.363,195972.0
2024-06-15 18:00:00,145.362,145.407,144.529,144.746,171014.0
2024-06-15 19:00:00,144.747,145.039,144.035,144.598,232568.0
2024-06-15 20:00:00,144.61,144.9,143.778,144.291,236612.0
2024-06-15 21:00:00,144.292,145.501,144.159,145.231,158879.0
2024-06-15 22:00:00,145.231,145.431,144.734,145.431,134844.0
2024-06-15 23:00:00,145.43,145.633,145.117,145.45,128912.0
2024-06-16 00:00:00,145.45,145.513,144.539,144.616,195749.0
2024-06-16 01:00:00,144.616,145.108,144.225,144.629,287901.0
2024-06-16 02:00:00,144.63,144.648,144.191,144.231,126737.0
2024-06-16 03:00:00,144.232,144.564,143.828,143.957,170758.0
2024-06-16 04:00:00,143.957,144.033,143.068,143.134,301937.0
2024-06-16 05:00:00,143.134,144.459,143.02,144.369,221814.0
2024-06-16 06:00:00,144.37,144.889,144.015,144.772,273535.0
2024-06-16 07:00:00,144.773,145.22,144.345,144.429,221568.0
2024-06-16 08:00:00,144.429,144.74,143.908,144.118,139324.0
2024-06-16 09:00:00,144.117,144.694,143.743,144.673,178068.0
2024-06-16 10:00:00,144.668,145.691,144.338,145.383,322015.0
2024-06-16 11:00:00,145.382,145.529,144.818,144.947,218133.0
2024-06-16 12:00:00,144.948,145.406,144.709,145.055,197183.0
2024-06-16 13:00:00,145.058,145.971,145.0,145.759,266599.0
2024-06-16 14:00:00,145.759,146.867,145.505,146.199,544815.0
2024-06-16 15:00:00,146.196,148.775,146.153,148.414,692995.0
2024-06-16 16:00:00,148.427,149.3,147.846,148.223,647746.0
2024-06-16 17:00:00,148.222,148.906,147.633,147.873,288177.0
2024-06-16 18:00:00,147.873,148.51,147.522,148.315,225711.0
2024-06-16 19:00:00,148.306,148.968,148.172,148.716,207009.0
2024-06-16 20:00:00,148.716,149.3,148.293,148.876,270096.0
2024-06-16 21:00:00,148.877,149.498,148.639,149.165,202613.0
2024-06-16 22:00:00,149.165,150.99,149.165,150.366,775534.0
2024-06-16 23:00:00,150.366,151.347,150.099,151.245,389576.0
2024-06-17 00:00:00,151.244,151.747,150.3,150.385,451509.0
2024-06-17 01:00:00,150.387,150.579,148.494,148.918,669677.0
2024-06-17 02:00:00,148.91,149.049,147.613,148.59,645794.0
2024-06-17 03:00:00,148.583,148.587,147.05,147.301,409265.0
2024-06-17 04:00:00,147.301,148.422,146.601,148.406,476576.0
2024-06-17 05:00:00,148.406,149.146,147.405,147.932,521440.0
2024-06-17 06:00:00,147.933,147.979,146.116,146.374,440105.0
2024-06-17 07:00:00,146.374,147.537,145.75,146.559,526057.0
2024-06-17 08:00:00,146.56,147.252,145.096,145.824,532306.0
2024-06-17 09:00:00,145.823,146.811,144.18,144.363,690137.0
2024-06-17 10:00:00,144.363,144.668,141.499,143.224,1305321.0
2024-06-17 11:00:00,143.223,144.364,142.998,143.861,378148.0
2024-06-17 12:00:00,143.86,144.061,143.041,143.24,365906.0
2024-06-17 13:00:00,143.24,144.005,141.812,142.393,619307.0
2024-06-17 14:00:00,142.393,144.592,142.32,143.428,598499.0
2024-06-17 15:00:00,143.415,143.888,140.698,141.178,686562.0
2024-06-17 16:00:00,141.177,143.897,139.765,143.251,1396011.0
2024-06-17 17:00:00,143.261,144.989,143.247,144.701,687644.0
2024-06-17 18:00:00,144.701,146.769,144.445,146.338,901140.0
2024-06-17 19:00:00,146.337,146.399,144.3,144.532,447295.0
2024-06-17 20:00:00,144.532,144.643,142.133,142.943,703774.0
2024-06-17 21:00:00,142.95,143.749,141.381,143.134,402662.0
2024-06-17 22:00:00,143.135,143.92,142.568,143.736,267129.0
2024-06-17 23:00:00,143.737,144.11,142.7,143.197,270452.0
2024-06-18 00:00:00,143.197,143.749,140.0,141.476,1061245.0
2024-06-18 01:00:00,141.477,142.02,127.0,132.555,4750522.0
2024-06-18 02:00:00,132.556,135.646,130.855,134.65,2120517.0
2024-06-18 03:00:00,134.647,135.631,133.722,135.526,793518.0
2024-06-18 04:00:00,135.527,137.21,134.64,136.705,739327.0
2024-06-18 05:00:00,136.706,137.8,136.25,136.417,590496.0
2024-06-18 06:00:00,136.417,137.087,135.421,136.026,549674.0
2024-06-18 07:00:00,136.025,136.968,135.973,136.617,369063.0
2024-06-18 08:00:00,136.617,138.762,136.38,138.489,668626.0
2024-06-18 09:00:00,138.488,138.689,137.12,137.241,454424.0
2024-06-18 10:00:00,137.239,138.403,136.699,137.593,501302.0
2024-06-18 11:00:00,137.591,137.97,135.567,137.104,1040940.0
2024-06-18 12:00:00,137.104,137.632,135.31,136.021,1120055.0
2024-06-18 13:00:00,136.022,136.256,132.997,134.24,1495333.0
2024-06-18 14:00:00,134.246,137.771,132.8,135.082,1646202.0
2024-06-18 15:00:00,135.088,136.892,134.105,135.969,922789.0
2024-06-18 16:00:00,135.969,136.119,133.198,134.678,680235.0
